#,Gender?,College,"Whiskey Sour","Old Fashion","Whiskey Coke","Pickle Back","Tequila Sunrise",Margarita,Freddy Fudpucker,"Bacardi Cocktail","Rum and Coke",Mojito,Daiquiri,Malibu,"Blue Hawaii","Mai Tai",Gimlet,"Gin and Tonic","French 75","White Russian","Cran Vodka",Appletini,Cosmo,"Blue Guy",Screwdriver,"Moscow Mule","Lemon Drop","Sex on the Beach",Mimosa,"Long Island","SF Slide","Please add you favorite drinks we may have missed (seperate multiple values with a ',')","Start Date (UTC)","Submit Date (UTC)","Network ID"
7b61e0e8fc5b964d34470c2f56652d84,Male,"College of Engineering",Like,"Don't Know",Dislike,Dislike,Like,Like,"Don't Know",Like,Like,Like,"Don't Know",Dislike,"Don't Know","Don't Know",Like,Dislike,"Don't Know",Dislike,Like,Like,Like,Dislike,Like,"Don't Know",Like,Like,Like,Like,"Don't Know",,"2016-10-05 17:55:52","2016-10-05 17:57:56",df45ff25ad
96bb5560fe124d492de5cba6b5a800c6,Male,"College of Engineering","Don't Know",Like,Like,"Don't Know",Like,Like,"Don't Know",Like,Like,Like,Like,Like,"Don't Know",Like,"Don't Know",Like,"Don't Know",Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,"Don't Know",,"2016-10-05 18:01:17","2016-10-05 18:02:42",6cdee76863
40615f30c14a9c46b284cc92486fa3e2,Male,"College of Business","Don't Know","Don't Know",Dislike,"Don't Know",Dislike,Like,"Don't Know","Don't Know",Like,Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know",,"2016-10-05 18:02:01","2016-10-05 18:03:42",807d12718c
f6c7df0f088000505ed6d4580d0c3845,Male,"College of LAS",Like,Like,Like,"Don't Know",Like,Like,"Don't Know","Don't Know",Like,"Don't Know","Don't Know",Like,"Don't Know",Like,"Don't Know",Dislike,"Don't Know",Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,"Don't Know",,"2016-10-05 18:04:45","2016-10-05 18:06:17",807d12718c
5b7cc0cbead0f7bfffbdd767e82df3cb,Male,"College of LAS","Don't Know","Don't Know",Like,"Don't Know",Like,Like,"Don't Know",Like,Like,"Don't Know",Like,Dislike,Like,Like,"Don't Know","Don't Know","Don't Know",Like,Dislike,Dislike,Dislike,Like,Dislike,"Don't Know","Don't Know",Like,"Don't Know","Don't Know","Don't Know",,"2016-10-05 18:06:42","2016-10-05 18:08:31",69a4e42882
e996893c48f48aa05850b9187c002827,Male,"College of Engineering","Don't Know","Don't Know",Like,"Don't Know",Like,Like,"Don't Know","Don't Know",Dislike,"Don't Know",Like,Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Dislike,Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,Like,"Don't Know",,"2016-10-05 18:06:22","2016-10-05 18:08:39",0795f70628
21605e867f0cc03e5ae84987506087ee,Male,Other,Dislike,Like,Like,"Don't Know","Don't Know",Like,"Don't Know",Like,Like,Like,Like,Like,Like,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",Like,"Don't Know","Don't Know",Like,"Don't Know","Don't Know",Like,Like,Like,"Don't Know",,"2016-10-05 18:07:13","2016-10-05 18:09:08",b5b5b60e92
6b3401f040f024a3adb668de9223d356,Female,"College of LAS",Dislike,Dislike,Like,"Don't Know",Like,Like,Like,Dislike,,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,,"2016-10-05 18:08:07","2016-10-05 18:10:46",1bcf422d56
ef27933b42a1844357ec67c01fa9b6e5,Male,"College of Engineering","Don't Know","Don't Know",,,Like,Like,Like,Like,Dislike,Like,Like,"Don't Know","Don't Know",Like,"Don't Know",Dislike,"Don't Know",Like,Like,"Don't Know","Don't Know",Like,"Don't Know","Don't Know",Like,Like,Like,Like,"Don't Know",,"2016-10-05 18:08:18","2016-10-05 18:11:03",df45ff25ad
a60a199fdccecf3a2bdb7fce3e5ad3e8,Other,Other,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",,"2016-10-05 18:10:42","2016-10-05 18:12:03",cdb56cd7fb
